index,slide_id,project
0,TCGA-FK-A4UB-01Z-00-DX1,TCGA-THCA
1,TCGA-EM-A22O-01Z-00-DX1,TCGA-THCA
2,TCGA-FK-A3SE-01Z-00-DX1,TCGA-THCA
3,TCGA-DE-A4MD-01Z-00-DX1,TCGA-THCA
4,TCGA-L6-A4EP-01Z-00-DX1,TCGA-THCA
5,TCGA-CE-A485-01Z-00-DX1,TCGA-THCA
6,TCGA-ET-A39O-01Z-00-DX1,TCGA-THCA
7,TCGA-EL-A3H3-01Z-00-DX1,TCGA-THCA
8,TCGA-BJ-A28X-01Z-00-DX1,TCGA-THCA
9,TCGA-DJ-A2Q8-01Z-00-DX1,TCGA-THCA
10,TCGA-DJ-A3V7-01Z-00-DX1,TCGA-THCA
11,TCGA-FE-A232-01Z-00-DX1,TCGA-THCA
12,TCGA-EM-A4FQ-01Z-00-DX1,TCGA-THCA
13,TCGA-EM-A1CV-01Z-00-DX1,TCGA-THCA
14,TCGA-EL-A3GQ-01Z-00-DX1,TCGA-THCA
15,TCGA-DJ-A2PS-01Z-00-DX1,TCGA-THCA
16,TCGA-BJ-A0ZJ-01Z-00-DX1,TCGA-THCA
17,TCGA-DJ-A2PN-01Z-00-DX1,TCGA-THCA
18,TCGA-BJ-A0ZB-01Z-00-DX1,TCGA-THCA
19,TCGA-BJ-A28S-01Z-00-DX1,TCGA-THCA
20,TCGA-FY-A3R7-01Z-00-DX1,TCGA-THCA
21,TCGA-EL-A3GR-01Z-00-DX1,TCGA-THCA
22,TCGA-EL-A3H5-01Z-00-DX1,TCGA-THCA
23,TCGA-DJ-A13R-01Z-00-DX1,TCGA-THCA
24,TCGA-DO-A1JZ-01Z-00-DX1,TCGA-THCA
25,TCGA-4C-A93U-01Z-00-DX1,TCGA-THCA
26,TCGA-J8-A42S-01Z-00-DX1,TCGA-THCA
27,TCGA-J8-A4HW-01Z-00-DX1,TCGA-THCA
28,TCGA-E8-A416-01Z-00-DX1,TCGA-THCA
29,TCGA-EL-A3CU-01Z-00-DX1,TCGA-THCA
30,TCGA-BJ-A45D-01Z-00-DX1,TCGA-THCA
31,TCGA-ET-A2N3-01Z-00-DX1,TCGA-THCA
32,TCGA-CE-A3MD-01Z-00-DX1,TCGA-THCA
33,TCGA-ET-A3DP-01Z-00-DX1,TCGA-THCA
34,TCGA-DE-A4MC-01Z-00-DX1,TCGA-THCA
35,TCGA-EM-A4FN-01Z-00-DX1,TCGA-THCA
36,TCGA-EL-A3MX-01Z-00-DX1,TCGA-THCA
37,TCGA-ET-A2MY-01Z-00-DX1,TCGA-THCA
38,TCGA-H2-A3RI-01Z-00-DX1,TCGA-THCA
39,TCGA-EM-A3FQ-01Z-00-DX1,TCGA-THCA
40,TCGA-ET-A3BP-01Z-00-DX1,TCGA-THCA
41,TCGA-BJ-A291-01Z-00-DX1,TCGA-THCA
42,TCGA-FY-A3NP-01Z-00-DX1,TCGA-THCA
43,TCGA-E3-A3E0-01Z-00-DX1,TCGA-THCA
44,TCGA-ET-A39N-01Z-00-DX1,TCGA-THCA
45,TCGA-EL-A3T0-01Z-00-DX1,TCGA-THCA
46,TCGA-DO-A1K0-01Z-00-DX1,TCGA-THCA
47,TCGA-FE-A3PD-01Z-00-DX1,TCGA-THCA
48,TCGA-DJ-A4UQ-01Z-00-DX1,TCGA-THCA
49,TCGA-ET-A3DQ-01Z-00-DX1,TCGA-THCA
50,TCGA-EM-A3FM-01Z-00-DX1,TCGA-THCA
51,TCGA-DJ-A13L-01Z-00-DX1,TCGA-THCA
52,TCGA-BJ-A0Z9-01Z-00-DX1,TCGA-THCA
53,TCGA-H2-A422-01Z-00-DX1,TCGA-THCA
54,TCGA-J8-A4HY-01Z-00-DX1,TCGA-THCA
55,TCGA-FY-A3I4-01Z-00-DX1,TCGA-THCA
56,TCGA-EM-A1CT-01Z-00-DX1,TCGA-THCA
57,TCGA-EL-A3GU-01Z-00-DX1,TCGA-THCA
58,TCGA-BJ-A3PT-01Z-00-DX1,TCGA-THCA
59,TCGA-FK-A3SH-01Z-00-DX1,TCGA-THCA
60,TCGA-ET-A2N0-01Z-00-DX1,TCGA-THCA
61,TCGA-E8-A2JQ-01Z-00-DX1,TCGA-THCA
62,TCGA-DJ-A3V3-01Z-00-DX1,TCGA-THCA
63,TCGA-ET-A39I-01Z-00-DX1,TCGA-THCA
64,TCGA-DE-A0Y2-01Z-00-DX1,TCGA-THCA
65,TCGA-EL-A3D6-01Z-00-DX1,TCGA-THCA
66,TCGA-FY-A2QD-01Z-00-DX1,TCGA-THCA
67,TCGA-EL-A3CZ-01Z-00-DX1,TCGA-THCA
68,TCGA-DJ-A4UW-01Z-00-DX1,TCGA-THCA
69,TCGA-EM-A1CS-01Z-00-DX1,TCGA-THCA
70,TCGA-EL-A3H4-01Z-00-DX1,TCGA-THCA
71,TCGA-EL-A3MW-01Z-00-DX1,TCGA-THCA
72,TCGA-ET-A40T-01Z-00-DX1,TCGA-THCA
73,TCGA-DJ-A2PR-01Z-00-DX1,TCGA-THCA
74,TCGA-EL-A3T6-01Z-00-DX1,TCGA-THCA
75,TCGA-DJ-A2PO-01Z-00-DX1,TCGA-THCA
76,TCGA-EM-A2P2-01Z-00-DX1,TCGA-THCA
77,TCGA-DJ-A3V2-01Z-00-DX1,TCGA-THCA
78,TCGA-EM-A3FP-01Z-00-DX1,TCGA-THCA
79,TCGA-ET-A25L-01Z-00-DX1,TCGA-THCA
80,TCGA-FY-A3TY-01Z-00-DX1,TCGA-THCA
81,TCGA-EL-A3H2-01Z-00-DX1,TCGA-THCA
82,TCGA-EL-A3ZS-01Z-00-DX1,TCGA-THCA
83,TCGA-DJ-A2Q6-01Z-00-DX1,TCGA-THCA
84,TCGA-CE-A483-01Z-00-DX1,TCGA-THCA
85,TCGA-EM-A2CT-01Z-00-DX1,TCGA-THCA
86,TCGA-E8-A438-01Z-00-DX1,TCGA-THCA
87,TCGA-FY-A4B3-01Z-00-DX1,TCGA-THCA
88,TCGA-EL-A3N2-01Z-00-DX1,TCGA-THCA
89,TCGA-DJ-A3UK-01Z-00-DX1,TCGA-THCA
90,TCGA-EM-A2P3-01Z-00-DX1,TCGA-THCA
91,TCGA-EL-A3D4-01Z-00-DX1,TCGA-THCA
92,TCGA-BJ-A0Z5-01Z-00-DX1,TCGA-THCA
93,TCGA-EM-A2CP-01Z-00-DX1,TCGA-THCA
94,TCGA-DJ-A1QL-01Z-00-DX1,TCGA-THCA
95,TCGA-BJ-A3F0-01Z-00-DX1,TCGA-THCA
96,TCGA-FY-A3RA-01Z-00-DX1,TCGA-THCA
97,TCGA-ET-A25I-01Z-00-DX1,TCGA-THCA
98,TCGA-EM-A3FQ-01Z-00-DX2,TCGA-THCA
99,TCGA-EL-A3ZN-01Z-00-DX1,TCGA-THCA
100,TCGA-E8-A3X7-01Z-00-DX1,TCGA-THCA
101,TCGA-DJ-A2PV-01Z-00-DX1,TCGA-THCA
102,TCGA-E8-A418-01Z-00-DX1,TCGA-THCA
103,TCGA-ET-A3BO-01Z-00-DX1,TCGA-THCA
104,TCGA-DJ-A3UV-01Z-00-DX1,TCGA-THCA
105,TCGA-EL-A3CT-01Z-00-DX1,TCGA-THCA
106,TCGA-ET-A2N3-01Z-00-DX2,TCGA-THCA
107,TCGA-EL-A3H7-01Z-00-DX1,TCGA-THCA
108,TCGA-EL-A3ZL-01Z-00-DX1,TCGA-THCA
109,TCGA-BJ-A0ZF-01Z-00-DX1,TCGA-THCA
110,TCGA-EM-A3FJ-01Z-00-DX1,TCGA-THCA
111,TCGA-4C-A93U-01Z-00-DX3,TCGA-THCA
112,TCGA-CE-A484-01Z-00-DX1,TCGA-THCA
113,TCGA-FY-A3R6-01Z-00-DX1,TCGA-THCA
114,TCGA-DJ-A4V2-01Z-00-DX1,TCGA-THCA
115,TCGA-ET-A40S-01Z-00-DX1,TCGA-THCA
116,TCGA-DJ-A3V8-01Z-00-DX1,TCGA-THCA
117,TCGA-ET-A3DV-01Z-00-DX1,TCGA-THCA
118,TCGA-ET-A25J-01Z-00-DX1,TCGA-THCA
119,TCGA-ET-A4KQ-01Z-00-DX1,TCGA-THCA
120,TCGA-DJ-A2Q4-01Z-00-DX1,TCGA-THCA
121,TCGA-EM-A4FK-01Z-00-DX1,TCGA-THCA
122,TCGA-ET-A3DU-01Z-00-DX1,TCGA-THCA
123,TCGA-DJ-A2PP-01Z-00-DX1,TCGA-THCA
124,TCGA-EM-A2P1-01Z-00-DX2,TCGA-THCA
125,TCGA-EM-A3SX-01Z-00-DX1,TCGA-THCA
126,TCGA-DJ-A2PZ-01Z-00-DX1,TCGA-THCA
127,TCGA-FY-A4B4-01Z-00-DX1,TCGA-THCA
128,TCGA-EL-A3ZK-01Z-00-DX1,TCGA-THCA
129,TCGA-EL-A4K9-01Z-00-DX1,TCGA-THCA
130,TCGA-DO-A1JZ-01Z-00-DX2,TCGA-THCA
131,TCGA-CE-A3ME-01Z-00-DX1,TCGA-THCA
132,TCGA-EM-A3AK-01Z-00-DX1,TCGA-THCA
133,TCGA-DJ-A3VL-01Z-00-DX1,TCGA-THCA
134,TCGA-BJ-A28Z-01Z-00-DX1,TCGA-THCA
135,TCGA-EM-A2CU-01Z-00-DX1,TCGA-THCA
136,TCGA-MK-A4N9-01Z-00-DX1,TCGA-THCA
137,TCGA-EM-A2CS-01Z-00-DX2,TCGA-THCA
138,TCGA-BJ-A2P4-01Z-00-DX1,TCGA-THCA
139,TCGA-DJ-A3V6-01Z-00-DX1,TCGA-THCA
140,TCGA-EM-A3ST-01Z-00-DX1,TCGA-THCA
141,TCGA-EM-A3SU-01Z-00-DX1,TCGA-THCA
142,TCGA-EL-A3D5-01Z-00-DX1,TCGA-THCA
143,TCGA-IM-A3ED-01Z-00-DX1,TCGA-THCA
144,TCGA-EL-A3ZO-01Z-00-DX1,TCGA-THCA
145,TCGA-DJ-A3VD-01Z-00-DX1,TCGA-THCA
146,TCGA-ET-A39S-01Z-00-DX1,TCGA-THCA
147,TCGA-E3-A3E1-01Z-00-DX1,TCGA-THCA
148,TCGA-DJ-A3VK-01Z-00-DX1,TCGA-THCA
149,TCGA-DJ-A4UL-01Z-00-DX1,TCGA-THCA
150,TCGA-EM-A3O8-01Z-00-DX1,TCGA-THCA
151,TCGA-BJ-A2NA-01Z-00-DX1,TCGA-THCA
152,TCGA-QD-A8IV-01Z-00-DX1,TCGA-THCA
153,TCGA-EL-A3GX-01Z-00-DX1,TCGA-THCA
154,TCGA-EM-A22N-01Z-00-DX1,TCGA-THCA
155,TCGA-J8-A3O2-01Z-00-DX1,TCGA-THCA
156,TCGA-EM-A2OY-01Z-00-DX1,TCGA-THCA
157,TCGA-BJ-A0Z3-01Z-00-DX2,TCGA-THCA
158,TCGA-KS-A41I-01Z-00-DX1,TCGA-THCA
159,TCGA-FY-A3YR-01Z-00-DX1,TCGA-THCA
160,TCGA-E8-A415-01Z-00-DX1,TCGA-THCA
161,TCGA-BJ-A290-01Z-00-DX1,TCGA-THCA
162,TCGA-DJ-A2Q7-01Z-00-DX1,TCGA-THCA
163,TCGA-EL-A3MY-01Z-00-DX1,TCGA-THCA
164,TCGA-ET-A25N-01Z-00-DX1,TCGA-THCA
165,TCGA-EL-A3T1-01Z-00-DX1,TCGA-THCA
166,TCGA-FK-A3SB-01Z-00-DX1,TCGA-THCA
167,TCGA-KS-A4I7-01Z-00-DX1,TCGA-THCA
168,TCGA-EL-A3GZ-01Z-00-DX1,TCGA-THCA
169,TCGA-EL-A3GV-01Z-00-DX1,TCGA-THCA
170,TCGA-EL-A4K1-01Z-00-DX1,TCGA-THCA
171,TCGA-EM-A4G1-01Z-00-DX1,TCGA-THCA
172,TCGA-DJ-A3VB-01Z-00-DX1,TCGA-THCA
173,TCGA-DJ-A2Q2-01Z-00-DX1,TCGA-THCA
174,TCGA-DJ-A3V9-01Z-00-DX1,TCGA-THCA
175,TCGA-DJ-A13V-01Z-00-DX1,TCGA-THCA
