index,slide_id,project,fold
3606,TCGA-GC-A3RC-01Z-00-DX1,TCGA-BLCA,0
3341,TCGA-4Z-AA82-01Z-00-DX1,TCGA-BLCA,1
3643,TCGA-E7-A677-01Z-00-DX1,TCGA-BLCA,2
3520,TCGA-4Z-AA86-01Z-00-DX1,TCGA-BLCA,3
3457,TCGA-LT-A8JT-01Z-00-DX1,TCGA-BLCA,4
3501,TCGA-G2-AA3C-01Z-00-DX1,TCGA-BLCA,5
3474,TCGA-CF-A47V-01Z-00-DX1,TCGA-BLCA,6
3403,TCGA-G2-A2EC-01Z-00-DX2,TCGA-BLCA,7
3705,TCGA-ZF-AA58-01Z-00-DX1,TCGA-BLCA,8
3332,TCGA-CF-A1HR-01Z-00-DX1,TCGA-BLCA,9
3374,TCGA-DK-A3IV-01Z-00-DX1,TCGA-BLCA,0
3470,TCGA-FJ-A3Z7-01Z-00-DX1,TCGA-BLCA,1
3442,TCGA-G2-AA3B-01Z-00-DX3,TCGA-BLCA,2
3657,TCGA-DK-A2I4-01Z-00-DX1,TCGA-BLCA,3
3683,TCGA-G2-A2EF-01Z-00-DX1,TCGA-BLCA,4
3357,TCGA-GD-A2C5-01Z-00-DX1,TCGA-BLCA,5
3671,TCGA-E7-A519-01Z-00-DX1,TCGA-BLCA,6
3589,TCGA-FD-A43Y-01Z-00-DX1,TCGA-BLCA,7
3735,TCGA-BT-A42B-01Z-00-DX1,TCGA-BLCA,8
3384,TCGA-UY-A9PB-01Z-00-DX1,TCGA-BLCA,9
3379,TCGA-G2-A2EK-01Z-00-DX1,TCGA-BLCA,0
3434,TCGA-BT-A20P-01Z-00-DX1,TCGA-BLCA,1
3529,TCGA-H4-A2HO-01Z-00-DX1,TCGA-BLCA,2
3419,TCGA-G2-A2ES-01Z-00-DX4,TCGA-BLCA,3
3522,TCGA-E5-A2PC-01Z-00-DX1,TCGA-BLCA,4
3684,TCGA-FD-A5BV-01Z-00-DX1,TCGA-BLCA,5
3381,TCGA-XF-AAMY-01Z-00-DX1,TCGA-BLCA,6
3749,TCGA-CF-A9FL-01Z-00-DX1,TCGA-BLCA,7
3311,TCGA-DK-A6B0-01Z-00-DX1,TCGA-BLCA,8
3577,TCGA-K4-A3WV-01Z-00-DX1,TCGA-BLCA,9
3686,TCGA-GU-A764-01Z-00-DX1,TCGA-BLCA,0
3550,TCGA-GC-A3RD-01Z-00-DX1,TCGA-BLCA,1
3724,TCGA-G2-A2EO-01Z-00-DX2,TCGA-BLCA,2
3415,TCGA-DK-A1A5-01Z-00-DX1,TCGA-BLCA,3
3753,TCGA-GD-A3OQ-01Z-00-DX1,TCGA-BLCA,4
3378,TCGA-G2-A2EO-01Z-00-DX1,TCGA-BLCA,5
3583,TCGA-FJ-A871-01Z-00-DX5,TCGA-BLCA,6
3624,TCGA-XF-A9SY-01Z-00-DX1,TCGA-BLCA,7
3426,TCGA-BT-A20Q-01Z-00-DX1,TCGA-BLCA,8
3380,TCGA-G2-A2EC-01Z-00-DX5,TCGA-BLCA,9
3591,TCGA-XF-A8HB-01Z-00-DX1,TCGA-BLCA,0
3392,TCGA-DK-A3IQ-01Z-00-DX1,TCGA-BLCA,1
3487,TCGA-4Z-AA83-01Z-00-DX1,TCGA-BLCA,2
3375,TCGA-XF-A9T0-01Z-00-DX1,TCGA-BLCA,3
3455,TCGA-YF-AA3M-01Z-00-DX1,TCGA-BLCA,4
3377,TCGA-CF-A9FM-01Z-00-DX1,TCGA-BLCA,5
3372,TCGA-K4-AAQO-01Z-00-DX1,TCGA-BLCA,6
3539,TCGA-CF-A9FF-01Z-00-DX1,TCGA-BLCA,7
3716,TCGA-GV-A3JW-01Z-00-DX1,TCGA-BLCA,8
3600,TCGA-G2-AA3F-01Z-00-DX3,TCGA-BLCA,9
3563,TCGA-ZF-A9R3-01Z-00-DX1,TCGA-BLCA,0
3335,TCGA-BL-A0C8-01Z-00-DX2,TCGA-BLCA,1
3549,TCGA-XF-AAMT-01Z-00-DX1,TCGA-BLCA,2
3619,TCGA-G2-A2ES-01Z-00-DX1,TCGA-BLCA,3
3708,TCGA-G2-AA3B-01Z-00-DX1,TCGA-BLCA,4
3732,TCGA-FD-A3SM-01Z-00-DX1,TCGA-BLCA,5
3313,TCGA-GC-A6I3-01Z-00-DX1,TCGA-BLCA,6
3703,TCGA-XF-AAML-01Z-00-DX1,TCGA-BLCA,7
3317,TCGA-UY-A78K-01Z-00-DX1,TCGA-BLCA,8
3746,TCGA-FD-A3SP-01Z-00-DX1,TCGA-BLCA,9
3704,TCGA-GU-AATP-01Z-00-DX1,TCGA-BLCA,0
3302,TCGA-C4-A0F1-01Z-00-DX1,TCGA-BLCA,1
3321,TCGA-DK-A6AW-01Z-00-DX1,TCGA-BLCA,2
3596,TCGA-4Z-AA7N-01Z-00-DX1,TCGA-BLCA,3
3676,TCGA-DK-A3IL-01Z-00-DX1,TCGA-BLCA,4
3358,TCGA-XF-A9SU-01Z-00-DX1,TCGA-BLCA,5
3494,TCGA-G2-A2EC-01Z-00-DX1,TCGA-BLCA,6
3694,TCGA-K4-A5RJ-01Z-00-DX1,TCGA-BLCA,7
3604,TCGA-CF-A8HX-01Z-00-DX1,TCGA-BLCA,8
3511,TCGA-G2-A2EJ-01Z-00-DX4,TCGA-BLCA,9
3607,TCGA-SY-A9G5-01Z-00-DX1,TCGA-BLCA,0
3690,TCGA-GU-A762-01Z-00-DX1,TCGA-BLCA,1
3327,TCGA-CU-A5W6-01Z-00-DX1,TCGA-BLCA,2
3670,TCGA-FD-A5BT-01Z-00-DX1,TCGA-BLCA,3
3505,TCGA-4Z-AA80-01Z-00-DX1,TCGA-BLCA,4
3609,TCGA-E7-A5KE-01Z-00-DX1,TCGA-BLCA,5
3344,TCGA-ZF-A9R1-01Z-00-DX1,TCGA-BLCA,6
3482,TCGA-CF-A5U8-01Z-00-DX1,TCGA-BLCA,7
3750,TCGA-ZF-AA5H-01Z-00-DX1,TCGA-BLCA,8
3418,TCGA-GD-A6C6-01Z-00-DX1,TCGA-BLCA,9
3664,TCGA-E5-A4TZ-01Z-00-DX1,TCGA-BLCA,0
3633,TCGA-FD-A62O-01Z-00-DX1,TCGA-BLCA,1
3598,TCGA-DK-A1AA-01Z-00-DX1,TCGA-BLCA,2
3324,TCGA-FT-A61P-01Z-00-DX1,TCGA-BLCA,3
3348,TCGA-4Z-AA81-01Z-00-DX1,TCGA-BLCA,4
3744,TCGA-E7-A678-01Z-00-DX1,TCGA-BLCA,5
3754,TCGA-CF-A1HS-01Z-00-DX1,TCGA-BLCA,6
3439,TCGA-XF-A9T6-01Z-00-DX1,TCGA-BLCA,7
3395,TCGA-BT-A20W-01Z-00-DX1,TCGA-BLCA,8
3359,TCGA-G2-A3IB-01Z-00-DX4,TCGA-BLCA,9
3456,TCGA-G2-A2EK-01Z-00-DX2,TCGA-BLCA,0
3326,TCGA-XF-A9SV-01Z-00-DX1,TCGA-BLCA,1
3319,TCGA-XF-A9SM-01Z-00-DX1,TCGA-BLCA,2
3368,TCGA-ZF-AA51-01Z-00-DX1,TCGA-BLCA,3
3712,TCGA-G2-A2EO-01Z-00-DX7,TCGA-BLCA,4
3622,TCGA-G2-A2EC-01Z-00-DX4,TCGA-BLCA,5
3333,TCGA-K4-A4AC-01Z-00-DX1,TCGA-BLCA,6
3386,TCGA-BT-A42E-01Z-00-DX1,TCGA-BLCA,7
3616,TCGA-FJ-A3Z7-01Z-00-DX3,TCGA-BLCA,8
3428,TCGA-GV-A3JV-01Z-00-DX1,TCGA-BLCA,9
3752,TCGA-G2-A2EF-01Z-00-DX3,TCGA-BLCA,0
3660,TCGA-BT-A20O-01Z-00-DX1,TCGA-BLCA,1
3396,TCGA-BT-A42F-01Z-00-DX1,TCGA-BLCA,2
3548,TCGA-DK-A3IK-01Z-00-DX1,TCGA-BLCA,3
3700,TCGA-ZF-A9R2-01Z-00-DX1,TCGA-BLCA,4
3692,TCGA-XF-A9SL-01Z-00-DX1,TCGA-BLCA,5
3707,TCGA-G2-AA3F-01Z-00-DX9,TCGA-BLCA,6
3541,TCGA-BT-A3PJ-01Z-00-DX1,TCGA-BLCA,7
3406,TCGA-GC-A6I1-01Z-00-DX1,TCGA-BLCA,8
3680,TCGA-GU-A42P-01Z-00-DX2,TCGA-BLCA,9
3307,TCGA-GU-A42Q-01Z-00-DX1,TCGA-BLCA,0
3347,TCGA-XF-A8HI-01Z-00-DX1,TCGA-BLCA,1
3483,TCGA-ZF-A9RC-01Z-00-DX1,TCGA-BLCA,2
3433,TCGA-XF-A9T2-01Z-00-DX1,TCGA-BLCA,3
3696,TCGA-G2-A3IB-01Z-00-DX2,TCGA-BLCA,4
3656,TCGA-DK-A1A6-01Z-00-DX1,TCGA-BLCA,5
3318,TCGA-SY-A9G0-01Z-00-DX1,TCGA-BLCA,6
3725,TCGA-G2-A2ES-01Z-00-DX3,TCGA-BLCA,7
3733,TCGA-ZF-A9RD-01Z-00-DX1,TCGA-BLCA,8
3667,TCGA-FD-A6TF-01Z-00-DX1,TCGA-BLCA,9
3305,TCGA-C4-A0F6-01Z-00-DX1,TCGA-BLCA,0
3320,TCGA-4Z-AA7O-01Z-00-DX1,TCGA-BLCA,1
3740,TCGA-UY-A9PE-01Z-00-DX1,TCGA-BLCA,2
3362,TCGA-CF-A47T-01Z-00-DX1,TCGA-BLCA,3
3728,TCGA-GD-A76B-01Z-00-DX1,TCGA-BLCA,4
3570,TCGA-G2-A2EK-01Z-00-DX3,TCGA-BLCA,5
3478,TCGA-XF-AAMF-01Z-00-DX1,TCGA-BLCA,6
3365,TCGA-DK-A1AB-01Z-00-DX1,TCGA-BLCA,7
3412,TCGA-5N-A9KM-01Z-00-DX1,TCGA-BLCA,8
